x	y	RindeSoja	Elevacion	CEa30	CEa90	RindeMaiz	NDVI_1	NDVI_2	NDVI_3
509651.469	6290504.516	5.78935	137.005	58.2887	52.4872	2.95312	0.425532	0.488188	0.142857
509671.469	6290504.516	6.01606	136.977	58.1843	53.2276	3.56935	0.431579	0.425789	0.142857
509691.469	6290504.516	5.8203	137.037	58.0227	54.0277	4.65588	0.397849	0.424954	0.147059
509711.469	6290504.516	4.1722	137.153	55.1945	51.3287	4.30936	0.397849	0.424954	0.147059
509731.469	6290504.516	2.37162	137.332	50.68	46.0964	3.75809	0.340659	0.422369	0.131707
509751.469	6290504.516	1.23666	137.482	48.5846	42.9628	3.70027	0.384615	0.4427	0.133005
509771.469	6290504.516	2.14741	137.477	50.1801	44.8739	3.34404	0.384615	0.4427	0.127451
509791.469	6290504.516	3.76422	137.384	53.9421	48.9587	3.01619	0.4	0.496604	0.137255
509811.469	6290504.516	4.11897	137.337	55.8143	50.9812	2.36425	0.409091	0.49759	0.133005
509831.469	6290504.516	4.08721	137.382	54.3447	49.0535	1.53906	0.409091	0.49759	0.128713
509851.469	6290504.516	4.13729	137.458	52.492	49.2345	1.39692	0.388235	0.459697	0.133005
509871.469	6290504.516	3.28899	137.598	51.6735	49.8134	1.30959	0.406593	0.428836	0.13
509891.469	6290504.516	2.32898	137.779	50.1612	48.5648	1.26634	0.406593	0.428836	0.12
509271.469	6290484.516	1.70263	139.317	48.6587	41.1235	1.18378	0.302326	0.432933	0.137097
509291.469	6290484.516	2.45976	138.989	47.3798	42.3955	1.31095	0.302326	0.432933	0.122642
509311.469	6290484.516	3.52453	138.783	48.9766	42.9144	2.06334	0.333333	0.452799	0.125
509331.469	6290484.516	3.44883	138.654	51.2499	45.7657	1.5972	0.333333	0.455297	0.126214
509351.469	6290484.516	3.635	138.603	50.3309	45.0051	1.4964	0.333333	0.455297	0.131707
509371.469	6290484.516	3.56407	138.503	47.732	43.5467	3.07785	0.326087	0.45734	0.126214
509391.469	6290484.516	3.58993	138.344	46.7787	41.8928	4.27924	0.340659	0.464469	0.126214
509411.469	6290484.516	3.41564	138.157	46.4185	42.2937	4.40911	0.340659	0.464469	0.131707
509431.469	6290484.516	3.73755	138.004	47.2398	44.2715	3.99442	0.363636	0.475797	0.126214
509451.469	6290484.516	3.70177	137.918	50.7634	46.2459	2.97201	0.363636	0.487263	0.131707
509471.469	6290484.516	4.10043	137.883	50.7737	43.7324	3.56759	0.363636	0.487263	0.135922
509491.469	6290484.516	4.16862	137.92	50.5977	43.5583	3.85262	0.348315	0.470009	0.140097
509511.469	6290484.516	4.16306	138.025	50.9489	44.1913	4.06666	0.318681	0.447607	0.134615
509531.469	6290484.516	3.74864	138.203	49.7457	43.739	3.54012	0.318681	0.447607	0.149758
509551.469	6290484.516	3.69029	138.284	48.6903	42.4019	2.98093	0.311828	0.42367	0.131707
509571.469	6290484.516	3.17208	138.178	49.0802	42.8609	3.29293	0.376344	0.442545	0.131707
509591.469	6290484.516	3.93295	137.854	50.0193	44.6654	3.65288	0.376344	0.442545	0.125
509611.469	6290484.516	4.46673	137.55	53.4907	48.4368	3.8687	0.406593	0.490725	0.130435
509631.469	6290484.516	5.29401	137.276	56.6103	52.4579	3.68132	0.347826	0.462806	0.135922
