g_gas	g_agua	g_cloaca	g_perc_baldio	g_comercio	g_sellos	g_perc_edif	d_bpriv	d_centro	d_educ	d_espverd	d_ffcc	d_supcom	d_indust	d_ruta	d_viasprin	d_viassec	d_depre	d_front	x	y	g_vial	d_sube	cod_baja	d_baja
0	0	0	0,826923076923	0	0	0,00778461538462	569,604769478999	3129,15627841	1785,28051292	1469,43233976999	1040,67715993	1365,20284573999	1177,91530712999	545,931782268	4,92965886E-6	1708,01683415	1992,87851412	6031,84213861999	4582774,24425	6523728,64639999	0	3129,15627841	d_depre	1992,87847015534
0	1	0,498847924927	0,732857142857	0	0	0,0257428571429	565,383476962	2607,8377679	1453,17944484	1118,79852432999	720,588862578999	860,962297820999	522,723206157	2,4889754418E-5	522,726506994	1096,49817987999	1315,01750816	5442,860198	4583206,43307	6523109,99327	0	2607,8377679	d_depre	1315,01749181412
0,5	0,45516041918	0,455160400408	0,648571428571	0	0,02941	0,0697357142857	37,4232437731999	1941,34980519	635,508753038999	640,220510737	99,7813238157	177,325602597999	1043,93747303999	633,894650316	2,4203708763E-5	642,145910214999	1012,22759614999	4848,95893648	4583939,52089	6523496,97723	0,951688953012	1941,34980519	d_depre	1012,22756525508
0,5	0,700928510817	0,727580200204	0,319565217391	2	0,00799	0,3037	650,849207894999	1298,39333198	323,912704119	58,4042604480999	494,382872415	207,87993492	990,930942513999	1277,94858002	51,5188863881	2,5486296963E-5	727,411122166	4204,94286093	4584559,09817	6523321,04344	0,975844476506	1298,39333198	d_depre	727,411089153834
1	0,946696602455	1	0,358085106383	1	0,01108	0,296093617021	684,889087235	1260,38924029	285,661365853999	7,28503905182	558,254383311999	246,963105946	1043,08284441999	1314,21994051999	3,508713767E-6	38,9606509166	779,433131979999	4170,78603287999	4584607,45896	6523363,68269999	1	1260,38924029	d_depre	779,433140084165
1	0,84672876984	0,875660661931	0,367826086957	0	0,02119	0,314773913043	642,646142780999	1303,27067229999	107,101349056	140,707222284	661,577959031999	281,340146773	1223,04264843	1274,55428303	180,594109301	3,6167135547E-5	959,520815425	4226,52306494999	4584604,48311	6523548,67633999	0,49148670938	1303,27067229999	d_depre	959,520773627093
0	0	0	0,984444444444	0	0	0,00188333333333	1284,27235786	3744,59497663	2484,71100784999	2208,92015832	1713,99287886999	1981,35260266999	1277,21215544	1148,40753782999	482,937668646	1614,9123492	2455,93522633	6590,85283184	4582087,83671	6523372,47080999	0	3744,59497663	d_depre	2455,93523185593
0	0	0	0,984444444444	0	0	0,00188333333333	1362,36830712999	3829,15855169999	2565,91327254999	2290,84129360999	1795,71445042	2065,74024185999	1353,61732675	1233,22850723999	484,896937708999	1675,81791131999	2540,08273701	6675,38257837	4582004,51118999	6523388,35357999	0	3829,15855169999	d_depre	2540,08273457768
0	0	0	0,985263157895	0	0	0,00178421052632	1440,98208666	3910,09013367999	2646,05263177	2365,93542532999	1876,12372441999	2146,75309424999	1422,50853662999	1313,43150306	497,695109285	1728,15812806999	2618,51252624	6754,51399975	4581923,56381	6523392,66579999	0	3910,09013367999	d_depre	2618,51253206503
0	0	0	0,985263157895	0	0	0,00178421052632	1253,00273603	3722,83947618999	2456,33459222999	2199,86291084	1686,2585355	1958,92512835999	1276,10372953999	1129,56066308	448,201040642999	1626,32569370999	2441,59591816	6574,59245072999	4582113,18756	6523402,84975999	0	3722,83947618999	d_depre	2441,59589555176
0	0	0	0,986666666667	0	0	0,00161428571429	1240,73280832	3736,19979818	2451,79913352999	2173,88326916999	1684,59765468999	1971,74437867999	1333,37490116999	1148,78025787	364,995491925	1699,97236244999	2472,97600185999	6599,84171062	4582110,78120999	6523488,16203	0	3736,19979818	d_depre	2472,9760030621
0	0	0	0,985263157895	0	0	0,00178421052632	1310,76649606	3784,95436379	2516,15938722999	2257,09738694999	1746,52412997999	2020,96630776	1331,13173320999	1191,80828995999	449,547188758999	1669,65224515999	2503,19394786	6636,61122808999	4582051,99638999	6523414,30224	0	3784,95436379	d_depre	2503,19392852329
0	0	0	0,985263157895	0	0	0,00178421052632	1387,89466743	3867,25889827999	2595,59687677	2325,55087675	1826,5753755	2103,18552456999	1404,97375811	1274,28256760999	451,743645277999	1728,84485451999	2584,85711528999	6718,78298523	4581970,92372	6523429,48534999	0	3867,25889827999	d_depre	2584,85712392487
0	0	0	0,987272727273	0	0	0,00154090909091	1321,82909689	3821,42001642	2534,51305229999	2245,52957194999	1768,12533615999	2056,98033528999	1407,08140742	1234,08915256999	367,029091221999	1758,19490863	2557,00652364	6684,84088571	4582026,96645	6523504,08696999	0	3821,42001642	d_depre	2557,00649069186
0	0	0	0,987272727273	0	0	0,00154090909091	1398,44696694999	3901,45556019	2612,34488267999	2313,66196096	1846,71748870999	2137,03256651999	1477,43464610999	1314,20380070999	368,959583602	1814,81922764999	2635,99455540999	6764,67133737	4581948,25346	6523519,03481999	0	3901,45556019	d_depre	2635,9945146251
0	0	0	0,986666666667	0	0	0,00161428571429	1197,06444809	3712,97150130999	2412,64659827	2111,83020872999	1649,25917256999	1949,65312519999	1361,67457760999	1129,50773036	281,440961040999	1749,86160616999	2469,223542	6587,4628196	4582146,19732	6523566,31116	0	3712,97150130999	d_depre	2469,22357539637
0	0	0	0,987272727273	0	0	0,00154090909091	1256,52753987999	3774,50401251999	2472,71865445999	2164,25578777999	1710,00296157999	2011,20843777999	1412,86065331999	1191,06112048999	282,463447527	1789,89858727	2529,4728561	6648,73194875999	4582085,75126999	6523577,94675999	0	3774,50401251999	d_depre	2529,47284642094
